Customer ID,first_purchase,last_purchase,total_orders,total_items,total_revenue,country,lifespan_days,avg_order_value,cohort_month
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,74285,77556.46,United Kingdom,400,6463.04,2009-12
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,2967,4921.53,Iceland,402,615.19,2010-10
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,2714,2019.4,Finland,362,403.88,2010-09
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,4,1624,4428.69,Italy,570,1107.17,2010-04
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,197,334.4,Norway,0,334.4,2011-02
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,261,300.93,Unspecified,0,300.93,2010-11
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,10,724,2849.84,Norway,356,284.98,2010-11
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,212,406.76,Bahrain,204,203.38,2010-10
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,1079.4,Spain,0,1079.4,2011-04
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,543,947.61,Bahrain,353,473.8,2010-05
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,3416,6371.73,Portugal,401,1061.96,2010-10
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,3,6587,18287.66,Switzerland,355,6095.89,2010-11
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,5,1079,3887.07,Austria,730,777.41,2009-12
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,10,2739,8873.39,Cyprus,676,887.34,2009-12
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,8,2459,4252.89,Austria,603,531.61,2010-02
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,4,235,511.25,Belgium,394,127.81,2010-01
12362,2009-12-01 10:10:00,2011-12-06 15:40:00,11,2230,5356.23,Belgium,735,486.93,2009-12
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,408,552.0,Unspecified,132,276.0,2011-04
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1506,1313.1,Belgium,104,328.28,2011-08
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,174,641.38,Cyprus,0,320.69,2011-02
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,296,500.24,Cyprus,0,500.24,2010-03
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,173,168.9,Denmark,0,168.9,2011-12
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,330,917.6999999999999,Cyprus,0,917.7,2010-03
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1241,1791.15,Austria,228,597.05,2010-03
12370,2010-02-09 09:41:00,2011-10-19 14:51:00,7,2604,4316.56,Cyprus,617,616.65,2010-02
12371,2010-03-04 18:23:00,2011-10-26 10:16:00,5,1436,4067.38,Switzerland,600,813.48,2010-03
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,794,1298.04,Denmark,224,432.68,2011-02
12373,2010-02-04 12:08:00,2011-02-01 13:10:00,3,516,1127.65,Austria,362,375.88,2010-02
12374,2010-04-30 14:01:00,2011-11-14 15:37:00,4,1362,2989.2200000000003,Austria,563,747.3,2010-04
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,178,457.5,Finland,87,228.75,2011-09
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,2,240,503.15,Switzerland,28,251.58,2010-10
12377,2010-04-29 15:34:00,2011-01-28 15:45:00,4,2105,3426.32,Switzerland,274,856.58,2010-04
12378,2010-05-26 14:07:00,2011-08-02 10:34:00,2,3316,5416.32,Switzerland,432,2708.16,2010-05
12379,2010-06-23 12:49:00,2011-09-19 10:09:00,4,815,1620.22,Belgium,452,405.06,2010-06
12380,2010-02-15 12:05:00,2011-11-18 11:27:00,11,3355,9676.300000000001,Belgium,640,879.66,2010-02
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,808,1845.31,Norway,115,369.06,2011-08
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1532,1850.56,Belgium,167,370.11,2010-12
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,126,585.27,Switzerland,92,292.64,2011-08
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,1,612,1938.4,Belgium,0,1938.4,2010-11
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,354,401.9,Australia,29,200.95,2010-12
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,134,143.94,Australia,0,143.94,2010-10
12388,2010-05-06 12:54:00,2011-11-24 12:30:00,8,2001,3901.11,Australia,566,487.64,2010-05
12389,2010-02-22 10:15:00,2010-11-02 11:52:00,3,614,1433.33,Australia,253,477.78,2010-02
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,353,549.84,Belgium,0,549.84,2011-09
12391,2010-02-15 10:12:00,2011-11-18 12:07:00,6,1204,2724.84,Cyprus,641,454.14,2010-02
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,73,234.75000000000003,Australia,0,234.75,2010-04
12393,2010-10-07 13:49:00,2011-09-28 15:41:00,6,1311,2399.4500000000003,Australia,356,399.91,2010-10
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,819,1272.48,Belgium,153,636.24,2011-05
12395,2010-04-16 10:16:00,2011-11-20 15:21:00,15,3205,4721.17,Belgium,583,314.74,2010-04
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,591,931.43,RSA,0,931.43,2010-02
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,1263,2409.9,Belgium,99,1204.95,2011-07
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1394,1635.6599999999999,Switzerland,0,1635.66,2011-10
12399,2010-03-05 08:45:00,2011-08-12 13:15:00,7,2198,1962.3,Belgium,525,280.33,2010-03
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,1,91,205.25,Australia,0,205.25,2010-10
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,11,84.3,Belgium,0,84.3,2011-02
12402,2010-02-07 12:41:00,2011-01-20 13:49:00,6,584,1256.9,Belgium,347,209.48,2010-02
12403,2010-07-06 11:39:00,2011-10-21 10:51:00,2,260,1019.36,Denmark,471,509.68,2010-07
12404,2010-01-26 16:25:00,2010-01-26 16:25:00,1,1,63.24,Finland,0,63.24,2010-01
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,857,1710.39,Finland,0,1710.39,2011-07
12406,2010-01-11 14:04:00,2011-11-17 19:22:00,5,3416,6390.36,Denmark,675,1278.07,2010-01
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1416,1708.1200000000001,Belgium,214,341.62,2011-03
12408,2010-07-29 13:27:00,2011-11-07 12:27:00,8,2229,4340.7699999999995,Belgium,465,542.6,2010-07
12409,2010-05-23 15:21:00,2011-09-22 10:38:00,7,13143,23419.29,Switzerland,486,3345.61,2010-05
12410,2010-07-25 13:26:00,2011-02-04 10:39:00,3,341,1013.71,Switzerland,193,337.9,2010-07
12411,2010-10-26 09:25:00,2010-10-26 09:25:00,1,138,346.9,Australia,0,346.9,2010-10
12412,2010-06-18 13:22:00,2011-09-26 10:16:00,6,1997,2596.93,Denmark,464,432.82,2010-06
12413,2010-11-02 13:26:00,2011-10-04 09:00:00,4,319,999.45,France,335,249.86,2010-11
12414,2010-09-02 12:22:00,2011-05-06 14:51:00,6,495,952.41,Austria,246,158.73,2010-09
12415,2010-06-30 08:30:00,2011-11-15 14:22:00,28,91447,144458.37,Australia,503,5159.23,2010-06
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,1,132,202.56,Australia,0,202.56,2010-02
12417,2009-12-06 10:30:00,2011-12-06 14:52:00,20,2884,6797.41,Belgium,730,339.87,2009-12
12418,2010-03-19 14:47:00,2011-08-19 11:08:00,4,1088,2021.2,Switzerland,517,505.3,2010-03
12419,2010-10-22 10:40:00,2010-11-19 10:04:00,2,231,503.01,Spain,27,251.5,2010-10
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,345,600.39,Cyprus,0,600.39,2011-10
12421,2010-07-22 13:57:00,2011-11-24 09:07:00,6,652,1098.6,Spain,489,183.1,2010-07
12422,2009-12-18 12:44:00,2011-09-05 09:48:00,17,2596,5231.8,Switzerland,625,307.75,2009-12
12423,2010-08-31 09:31:00,2011-12-09 10:10:00,10,1793,2622.39,Belgium,465,262.24,2010-08
12424,2010-06-09 15:15:00,2011-06-30 12:06:00,4,2025,3340.03,Australia,385,835.01,2010-06
12425,2010-09-17 14:10:00,2011-09-22 17:31:00,2,1147,1741.41,Portugal,370,870.7,2010-09
12426,2010-02-15 08:41:00,2011-05-29 12:26:00,2,584,1345.21,Germany,468,672.6,2010-02
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,3,533,825.8,Germany,349,275.27,2010-12
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,9,3536,7956.46,Finland,257,884.05,2011-03
12429,2010-06-11 13:28:00,2011-11-30 17:22:00,8,2890,6204.41,Denmark,537,775.55,2010-06
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,117,256.4,Norway,0,256.4,2011-10
12431,2010-01-15 09:04:00,2011-11-04 11:55:00,27,4600,10432.22,Australia,658,386.38,2010-01
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,5,1801,5059.32,Norway,129,1011.86,2011-06
12433,2010-08-20 09:23:00,2011-12-09 10:02:00,10,13534,16794.14,Norway,476,1679.41,2010-08
12434,2010-11-23 13:38:00,2011-09-16 12:38:00,3,532,1103.43,Australia,296,367.81,2010-11
12435,2009-12-02 13:58:00,2011-09-21 09:06:00,6,4958,13925.93,Denmark,657,2320.99,2009-12
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,211,509.01,Norway,0,509.01,2011-09
12437,2009-12-02 16:24:00,2011-12-08 11:35:00,39,8000,12683.4,France,735,325.22,2009-12
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,2,1180,2906.85,Norway,125,1453.42,2011-07
12439,2009-12-14 08:40:00,2010-01-26 12:11:00,2,478,1142.88,Cyprus,43,571.44,2009-12
12440,2009-12-22 12:03:00,2010-09-03 13:11:00,2,331,859.2,Austria,255,429.6,2009-12
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,121,173.55,France,0,173.55,2010-12
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,182,172.06,Spain,0,172.06,2011-12
12443,2009-12-07 15:42:00,2009-12-07 15:42:00,1,182,485.31,Norway,0,485.31,2009-12
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,5,1153,5005.46,Norway,149,1001.09,2011-06
